Userlink,UserName,UserFollowing,UserFollowers,UserLikes
https://www.tiktok.com/@user748961401,user748961401  ,0,0,79.7K
https://www.tiktok.com/@kkhanh.ann,kkhanh.ann  ,396,236.3K,10.8M
https://www.tiktok.com/@user748961401,user748961401  ,0,0,79.7K
https://www.tiktok.com/@m_nhi_20,m_nhi_20  ,334,235.9K,1.8M
https://www.tiktok.com/@tedtrantv,tedtrantv  ,4,174.8K,10.2M
https://www.tiktok.com/@nhilaystore,nhilaystore  ,7,1.1M,28.8M
https://www.tiktok.com/@yen.hoang_,yen.hoang_  ,142,1.2M,23.7M
https://www.tiktok.com/@phuongku101,phuongku101  ,17,2.2M,38.1M
https://www.tiktok.com/@tat_106,tat_106  ,300,1.7M,60.6M
https://www.tiktok.com/@my_vanh,my_vanh  ,1210,2.1M,57M
https://www.tiktok.com/@quocthanh0308,quocthanh0308  ,686,8.8M,171.2M
https://www.tiktok.com/@daolenyk,daolenyk  ,574,891.8K,43.2M
https://www.tiktok.com/@tieumyy93,tieumyy93  ,247,1.4M,15.9M
https://www.tiktok.com/@blvtiendungvleague,blvtiendungvleague  ,2490,150.2K,6M
https://www.tiktok.com/@cindymiicute,cindymiicute  ,3,13.3M,239M
https://www.tiktok.com/@ngotrikhanh.official,ngotrikhanh.official  ,11,1.2M,26.6M
https://www.tiktok.com/@lebong95,lebong95  ,214,9.2M,220M
https://www.tiktok.com/@lingg2809,lingg2809  ,93,5.8M,187.3M
https://www.tiktok.com/@tuyenvanhoa,tuyenvanhoa  ,612,711.3K,18.3M
