posturl,browseUser,postcontent,views,likes,saves,shares,commentcounts
https://www.tiktok.com/@tacareview/video/7218881778797333786,https://www.tiktok.com/@tacareview,"['Trả lời', '@Dương Min', '@Dương Min', 'Review nước tăng lực Warrior của jhaf Redbull', '#thangcay', '#thangcay', '', '#tacareview', '#tacareview', '', '#warrior', '#warrior', '', '#nuoctangluc', '#nuoctangluc', '', '#nuoctanglucwarrior', '#nuoctanglucwarrior', '', '#reviewnuoctangluc', '#reviewnuoctangluc', '']",1496,1268,69,6,33 comments
https://www.tiktok.com/@meimei199494/video/7208477029283482907,https://www.tiktok.com/@meimei199494,"['""Bắp trong bắp” ăn ngon tím người. Ai đã thử món này điểm danh xem nha!', '#TimCucVuicungMONO', '#TimCucVuicungMONO', '', '#NuocTangLucWarrior', '#NuocTangLucWarrior', '', '#Bungtinhnangluong', '#Bungtinhnangluong', '', '#Timcucvui', '#Timcucvui', '', '#khimaivaobep', '#khimaivaobep', '', '#meinau', '#meinau', '', '#xuhuong', '#xuhuong', '']",1496,2110,8,1,50 comments
https://www.tiktok.com/@motngaycuabinh/video/7208546855758679322,https://www.tiktok.com/@motngaycuabinh,"['Trả lời', '@Ngọc Tú', '@Ngọc Tú', 'Bí kíp chống mệt ở trong đây nè em', '#TimCucVuicungMONO', '#TimCucVuicungMONO', '', '#NuocTangLucWarrior', '#NuocTangLucWarrior', '', '#Bungtinhnangluong', '#Bungtinhnangluong', '', '#Timcucvui', '#Timcucvui', '', '#motngaycuabinh', '#motngaycuabinh', '']",1496,3309,6,1,25 comments
https://www.tiktok.com/@huunghia0304/video/7083112647930940698,https://www.tiktok.com/@huunghia0304,"['Khi bé thúi thấy được clip của a Bông Tím🍇', '#dqn', '#dqn', '', '#hnghiaa', '#hnghiaa', '', '#NuoctanglucWarrior', '#NuoctanglucWarrior', '']",23.2M,3759,8,1,17 comments
https://www.tiktok.com/@user748961401/video/7150165947297418498,https://www.tiktok.com/@user748961401,"['Nạp ngay Warrior vị Nho Bừng Tỉnh Năng Lượng cháy mọi cuộc vui nào các homies ơi!', '#QuaRiO', '#QuaRiO', '', '#Nho', '#Nho', '', '#NuocTangLucWarrior', '#NuocTangLucWarrior', '', '#Bungtinhnangluong', '#Bungtinhnangluong', '', '#Chaymoicuocvui', '#Chaymoicuocvui', '', '#TCPVietnam', '#TCPVietnam', '', '#Tiếp_Năng_Lượng_Bừng_Sức_Sống', '#Tiếp_Năng_Lượng_Bừng_Sức_Sống', '']",23.2M,3767,30,42,13 comments
https://www.tiktok.com/@user748961401/video/7150165947041565953,https://www.tiktok.com/@user748961401,"['Nạp ngay Warrior vị Nho Bừng Tỉnh Năng Lượng cháy mọi cuộc vui nào các homies ơi!', '#QuaRiO', '#QuaRiO', '', '#Nho', '#Nho', '', '#NuocTangLucWarrior', '#NuocTangLucWarrior', '', '#Bungtinhnangluong', '#Bungtinhnangluong', '', '#Chaymoicuocvui', '#Chaymoicuocvui', '', '#TCPVietnam', '#TCPVietnam', '', '#Tiếp_Năng_Lượng_Bừng_Sức_Sống', '#Tiếp_Năng_Lượng_Bừng_Sức_Sống', '']",23.2M,3915,27,29,12 comments
https://www.tiktok.com/@user748961401/video/7150922492301823233,https://www.tiktok.com/@user748961401,"['Nạp ngay Warrior vị Nho Bừng Tỉnh Năng Lượng cháy mọi cuộc vui nào các homies ơi!', '#QuaRiO', '#QuaRiO', '', '#Nho', '#Nho', '', '#NuocTangLucWarrior', '#NuocTangLucWarrior', '', '#Bungtinhnangluong', '#Bungtinhnangluong', '', '#Chaymoicuocvui', '#Chaymoicuocvui', '', '#TCPVietnam', '#TCPVietnam', '', '#Tiếp_Năng_Lượng_Bừng_Sức_Sống', '#Tiếp_Năng_Lượng_Bừng_Sức_Sống', '']",23.2M,4107,21,39,21 comments
https://www.tiktok.com/@nuoctanglucwarrior/video/7226696489572011269,https://www.tiktok.com/@nuoctanglucwarrior,"['Phiên bản Purple Lightning cực lạ so với bản gốc của MONO ⚡️', '', '#TimCucVuicungMONO', '#TimCucVuicungMONO', '', '#NuocTangLucWarrior', '#NuocTangLucWarrior', '', '#Bungtinhnangluong', '#Bungtinhnangluong', '', '#Timcucvui', '#Timcucvui', '']",23.2M,16.6K,19,64,55 comments
https://www.tiktok.com/@cu0ngca0/video/7208864483299593498,https://www.tiktok.com/@cu0ngca0,"['Thích màu tím, ghét sự thuỷ chung', '#cuongcao', '#cuongcao', '', '#vtmgr', '#vtmgr', '', '#TimCucVuicungMONO', '#TimCucVuicungMONO', '', '', '#nuoctanglucwarrior', '#nuoctanglucwarrior', '', '#bungtinhnangluong', '#bungtinhnangluong', '', '#timcucvui', '#timcucvui', '']",15.1K,9001,134,6,92 comments
https://www.tiktok.com/@august.dohaidang/video/7208527750502698267,https://www.tiktok.com/@august.dohaidang,"['Tạm thời bỏ qua stress chúng ta cùng nhau lấy lại tinh thần nàooo!!', '#TimCucVuicungMONO', '#TimCucVuicungMONO', '', '#NuocTangLucWarrior', '#NuocTangLucWarrior', '', '#Bungtinhnangluong', '#Bungtinhnangluong', '', '#Timcucvui', '#Timcucvui', '']",15.1K,11.1K,21,209,87 comments
