posturl,browseUser,postcontent,views,likes,saves,shares,commentcounts
https://www.tiktok.com/@user748961401/video/7150165947041565953,https://www.tiktok.com/@user748961401,"['Nạp ngay Warrior vị Nho Bừng Tỉnh Năng Lượng cháy mọi cuộc vui nào các homies ơi!', '#QuaRiO', '#QuaRiO', '', '#Nho', '#Nho', '', '#NuocTangLucWarrior', '#NuocTangLucWarrior', '', '#Bungtinhnangluong', '#Bungtinhnangluong', '', '#Chaymoicuocvui', '#Chaymoicuocvui', '', '#TCPVietnam', '#TCPVietnam', '', '#Tiếp_Năng_Lượng_Bừng_Sức_Sống', '#Tiếp_Năng_Lượng_Bừng_Sức_Sống', '']",13K,3915,27,29,12 comments
https://www.tiktok.com/@kkhanh.ann/video/7097561120705187099,https://www.tiktok.com/@kkhanh.ann,"['Up mood cực nhanh, cùng Khnhan tham gia thử thách', '#BatNapLaBatMood', '#BatNapLaBatMood', 'để nhận thật nhiều giải thưởng hot nhé cả nhà ơi#R', 'edBull #', 'edBull #', 'R', 'edBullViCaPheULanh #', 'edBullViCaPheULanh #', 'T', 'CPVietnam', 'CPVietnam', '#a', 'd', 'd', '']",13K,4040,3,508,33 comments
https://www.tiktok.com/@user748961401/video/7150922492301823233,https://www.tiktok.com/@user748961401,"['Nạp ngay Warrior vị Nho Bừng Tỉnh Năng Lượng cháy mọi cuộc vui nào các homies ơi!', '#QuaRiO', '#QuaRiO', '', '#Nho', '#Nho', '', '#NuocTangLucWarrior', '#NuocTangLucWarrior', '', '#Bungtinhnangluong', '#Bungtinhnangluong', '', '#Chaymoicuocvui', '#Chaymoicuocvui', '', '#TCPVietnam', '#TCPVietnam', '', '#Tiếp_Năng_Lượng_Bừng_Sức_Sống', '#Tiếp_Năng_Lượng_Bừng_Sức_Sống', '']",13K,4107,21,39,21 comments
https://www.tiktok.com/@m_nhi_20/video/7097562177917291802,https://www.tiktok.com/@m_nhi_20,"['Nhạc cháy thế này, còn chờ gì mà không mau up mood!!!Cùng Nhi tham gia thử thách #', 'BatNapLaBatMoodc', 'BatNapLaBatMoodc', 'ủa #R', 'edBullViCaPheULanh đ', 'edBullViCaPheULanh đ', 'ể nhận thật nhiều giải thưởng hot nhé#Re', 'dBull #T', 'dBull #T', 'C', 'PVietnam #a', 'PVietnam #a', 'd', '', '', '']",13K,4599,7,559,37 comments
https://www.tiktok.com/@tedtrantv/video/7156520686989692187,https://www.tiktok.com/@tedtrantv,"['Cầu thủ HAGL được fans Đà Nẵng chào đón nồng nhiệt', '', '', '#RedBull', '#RedBull', '', '#HAGL', '#HAGL', '', '#NangLuongTichCuc', '#NangLuongTichCuc', '', '#KhoiDayNoiLuc', '#KhoiDayNoiLuc', '', '#TCPVietnam', '#TCPVietnam', '', '#Tiếp_Năng_Lượng_Bừng_Sức_Sống', '#Tiếp_Năng_Lượng_Bừng_Sức_Sống', '']",13K,6736,86,26,69 comments
https://www.tiktok.com/@nhilaystore/video/7164249496791076123,https://www.tiktok.com/@nhilaystore,"['Có ai mê giống hươu khongg.', '', '#RedBull', '#RedBull', '', '#HAGL', '#HAGL', '', '#NangLuongTichCuc', '#NangLuongTichCuc', '', '#KhoiDayNoiLuc', '#KhoiDayNoiLuc', '', '#TCPVietnam', '#TCPVietnam', '', '#Tiếp_Năng_Lượng_Bừng_Sức_Sống', '#Tiếp_Năng_Lượng_Bừng_Sức_Sống', '', '#theanh28', '#theanh28', '']",13K,6920,116,12,90 comments
https://www.tiktok.com/@yen.hoang_/video/7098693187081997594,https://www.tiktok.com/@yen.hoang_,"['Đu trend mà còn được up mood 🤎 Tham gia ngay thử thách #B', 'atNapLaBatMood c', 'atNapLaBatMood c', 'hiến cùng con beat cực cháy và rinh được thật nhiều phần quá hấp dẫn nhé !!!#Red', 'Bull #Re', 'Bull #Re', 'd', 'BullViCaPheULanh #TC', 'BullViCaPheULanh #TC', 'P', 'Vietnam', 'Vietnam', '']",782.9K,9310,7,1209,64 comments
https://www.tiktok.com/@phuongku101/video/7097559577519983898,https://www.tiktok.com/@phuongku101,"['Phiêu chiếc beat cực cool cực up mood nào cả nhà ơiiii.Tham gia thử thách #', 'BatNapLaBatMood', 'BatNapLaBatMood', 'của #', 'RedBullViCaPheULanh', 'RedBullViCaPheULanh', 'để rinh thật nhiều quà khủng nhá!!!#R', 'edBull #', 'edBull #', 'T', 'CPVietnam', 'CPVietnam', '#a', 'd', 'd', '']",782.9K,9626,30,1272,49 comments
https://www.tiktok.com/@tat_106/video/7097932098123746586,https://www.tiktok.com/@tat_106,"['#sponsored', '#sponsored', 'Up chiếc mood cháy cùng con beat nàoooooo 🔥🔥Còn chần chừ gì mà không tham gia thử thách', '#BatNapLaBatMood', '#BatNapLaBatMood', 'của', '#RedBullViCaPheULanh', '#RedBullViCaPheULanh', 'để có cơ hội nhận được thật nhiều phần quà hấp dẫn nào cẩ nhà iu 💃🏻💃🏻💃🏻', '#RedBull', '#RedBull', '', '#TCPVietnam', '#TCPVietnam', '', '#ad', '#ad', '']",782.9K,10.2K,36,1228,69 comments
https://www.tiktok.com/@my_vanh/video/7098563846557814042,https://www.tiktok.com/@my_vanh,"['Đầu tuần cần up mood? Có', '#RedBullViCaPheULanh', '#RedBullViCaPheULanh', 'nèeeCùng Vân tham gia thử thách #B', 'atNapLaBatMoodcủ', 'atNapLaBatMoodcủ', 'a #Re', 'dBullViCaPheULanh để', 'dBullViCaPheULanh để', 'nhận thật nhiều giải thưởng siêu hot nhen.#Red', 'Bull #TC', 'Bull #TC', 'P', 'Vietnam #ad', 'Vietnam #ad', '', '', '']",782.9K,10.9K,60,1446,67 comments
